"","SampleID","Akashiwo","Amylax","Azadinium","Bispinodinium","Blastodinium","Gloeodinium","Gymnodinium","Gyrodiniellum","Gyrodinium","Herdmania","Heterocapsa","Islandinium","Madanidinium","Nusuttodinium","Parvodinium","Paulsenella","Pelagodinium","Pentapharsodinium","Polarella","Polykrikos","Prorocentrum","Proterythropsis","Protoperidinium","Sabulodinium","Sinophysis","Stoeckeria","Thecadinium","Tintinnophagus","Unclassified Eukaryota"
"1","20ppt3C_1",0,0,0.00272688538559864,0,0.000232405004454429,0,0,0,6.97215013363288e-05,0,0.000170430336599915,3.87341674090715e-05,0,0,0.000170430336599915,0,0,0.00596506178099702,0.000565518844172445,0,0,0,0,0,0,0,0,0,0.000286632838827129
"2","20ppt3C_2",0,0,0.00236012528843539,0,0.000552743097291559,0,0,0,6.14158996990621e-05,0,8.77369995700887e-05,0,4.38684997850444e-05,0,0,0,0,0.0037551435815998,0.000640480096861648,0,0,0,0,0,0,5.26421997420532e-05,0,0,0.000245663598796248
"3","20ppt3C_3",0,0,0.00611637986766583,0,5.05950540523827e-05,0,0,0.000224866906899479,5.62167267248697e-05,0,0.000320435342331757,5.05950540523827e-05,0.000123676798794713,0,0.000297948651641809,0,0,0.00698773913190131,0.000269840288279375,0,0.000550923921903723,0,0,0,0,0,0,0,0.000123676798794713
"4","35ppt0C_1",0,0,0.00543944815431016,0,9.11639355470976e-05,0,3.7984973144624e-05,0.000220312844238819,0,0,0.000668535527345382,5.31789624024736e-05,0.000136745903320646,0,0.000212715849609894,0,0,0.00666256428956705,0.000212715849609894,5.31789624024736e-05,0.000584968586427209,0,0,0,0,0,0,0,0.000303879785156992
"5","35ppt0C_2",0,0,0.00714771080939011,0,0.000153852071233509,0,0,0.00042309319589215,3.84630178083772e-05,0,0.000852596894752362,9.61575445209431e-05,0.000121799556393195,0,0.00037821967511571,0,0,0.00802594971601472,0.000397451184019898,7.69260356167545e-05,0.000794902368039796,0,0,0,0,0,0,0,0.000903880918496865
"6","35ppt0C_3",0,0,0.00303632794882708,0,0.000279494622904584,0,0,0,3.81129031233524e-05,0,0.000184212365096203,0,6.98736557261461e-05,0,0.000165155913534527,0,0,0.00612347310181862,0.000635215052055874,0,0,0,0,0,0,3.17607526027937e-05,0,0,0.000209620967178438
"7","50ppt-3C_1",0,0,0.0101596425217594,0,0.000447478051516698,0,7.56300932140899e-05,0.000831931025354989,0.000737393408837376,3.15125388392041e-05,0.000573528206873515,3.78150466070449e-05,0.000831931025354989,0,0.000428570528213176,0,0,0.00797897483408648,0.0010336112739259,0,0.00197898743910202,0.000138655170892498,0,0,0,0,0,0,0.00376259713740097
"8","50ppt-3C_2",0,0,0.00412176110355493,0,0.000945864775857665,0,0,0,0.000103561836772737,0,0.00021402779599699,0,0,0,0.000144986571481832,0,0,0.00303781387866695,0.000317589632769727,0,0,0,0,0,0,4.83288571606106e-05,0,0,0.00021402779599699
"9","50ppt-3C_3",0,0,0.00874972983901891,0,0.000376482399447826,0,0,0.000599583080602093,0,0,0.000808739969184218,0,0.000439229466022463,0,0.000376482399447826,0,0,0.0102626313330963,0.00131768839806739,0,0.00172903027894557,0,0,0,0,6.27470665746376e-05,0,0,0.00271903955156763
"10","Ev32Core_A",0,0,0,0,0.000369628831048822,0,0.00197135376559372,0.000539042045279532,0.00623748652394887,0,0.0332973971969814,0,0.000277221623286616,0,0,0,0.0017095333436008,0.141706453103342,0.000662251655629139,6.16048051748036e-05,0.00181734175265671,0,0,0,0,0,0.000308024025874018,0.000184814415524411,0.000939473278915755
"11","Ev32Core_B",0,0,0,0,0.000742433726871734,0.000109181430422314,0.00124466830681438,0.00187064184123564,0.00786834175243475,0.000480398293858181,0.00222002241858705,0,0.00114276563842022,0,0.00302796500371217,0,0.00063325229644942,0.0586158706127262,0.00476758912844103,0.000116460192450468,0.00460017760179349,0.000414889435604792,0,0,0,0.000625973534421266,0,0,0.00644170439491651
"12","Ev32Core_C",0,4.601781546856e-05,0,0,0.000328698681918286,0,0.000874338493902639,0.0013608125431417,0.00445715412681195,0,0.00259671958715446,0.00103211386122342,0.00184728659238076,0,0.000709989152943497,0,0.00164349340959143,0.112704204056142,0.0132005390658383,0.000354994576471748,0.00189987838148769,0.000223515103704434,0,0.000992670019393222,0,0.000466752128323965,0,9.20356309371199e-05,0.00259014561351609
"13","Ev37Core_A",0,0,0,1.90191808438811e-05,0,0,0.00163564955257377,0.000637142558270015,0.00630485844974657,0,0.0639710147683939,0,0.000261513736603365,0,0,0,0,0.271669979173997,0.000342345255189859,4.75479521097026e-05,0.00231083047253155,7.60767233755242e-05,0,0,0.000114115085063286,0,0.000603858991793223,0,0.00106982892246831
"14","EvXCore_A",0,0,0,0,0,0,0.000945874934314241,0.000595550884568226,0.00665615694517429,0,0,0,0.000420388859695218,0,0.000910842529339639,0,0,0.19474513925381,0.00168155543878087,0,0,0.00150639341390786,0,0,0,0,0,0,0.000525486074619023
"15","Hero_1",0,0,0,0,0.00244293029233563,0,0.000586507272690181,0.0015147187825129,0.00272853383381954,0,0.0010965135967686,7.65009486117628e-05,0.00043860543870744,0,0.00196352434770191,0,0,0.0472469858626247,0.00037740467981803,0.000153001897223526,0.00668618290866807,5.6100695648626e-05,0,0,0,6.63008221301944e-05,0,0,0.0109090352720374
"16","Hero_2",0,0,0,0,0,0,0,0,0.00143339616713792,0,0.0359821709079485,0,0,0,0,0,0,0.0101614043355325,0.0147463085139805,0,0,0.0087083726044612,0,0,0,0,0,0,0.0110351869305686
"17","Hero_3",0,0,0,0,0,0,0.0167446566333628,0,0,0,0.0177058302769698,0,0,0,0.0152017199949412,0,0,0.016997597065891,0.0118629062855697,0,0.00384469457442772,0.0126976097129126,0,0,0,0,0,0,0
"18","Station_B1_2",0,0,0.0198739806935939,0,0.000682863236683058,0,7.98151835084094e-05,0.00348969719006212,0.00440313762354725,0,0.00380452374723418,0,0.00421690219536096,0,0.00126374040554982,1.33025305847349e-05,0,0.07978857844724,0.000984387263270383,0.000159630367016819,0.00400849588286678,0.00028822149600259,0,0.00163621126192239,0,0.000274918965417855,0,0,0.0051081717445382
"19","Station_B1_3",0,0,0,0,0.000134559318232788,0,0.000125588697017268,0.00297376093294461,0.00817223592733797,0,0.003507512895268,4.03677954698363e-05,0.00523435747925544,1.34559318232788e-05,0.00105853330343126,0,0,0.0993361740300516,0.00100470957613815,0.000255662704642296,0.00422516259250953,0.000143529939448307,0,0.00100470957613815,0,0.00021529490917246,8.97062121551917e-05,0,0.00448979591836735
"20","Station_B1_4",0,1.59558978982093e-05,0,0,0.000554467451962775,0,9.17464129147038e-05,0.000905497205723381,5.18566681691804e-05,0,0.000243327442947693,0.000103713336338361,0.000159558978982093,0,0.000382941549557024,0,0.000434798217726205,0.00792609228093549,8.37684639655991e-05,3.19117957964187e-05,0.00242928545500237,0,0,0,0,0,0,3.19117957964187e-05,0.00685704712175547
"21","Station_B2_1",0,0,0,0,0.00303729801968169,0,0.000387255497509416,0.00227797351476127,0.0016097679504313,0,0.0026956019924675,0.000174644636131697,0.00141993682420119,7.59324504920423e-05,0.00119973271777427,0,0,0.019036265338355,0.000546713643542704,0.000242983841574535,0.0061125622646094,0.000182237881180901,0,0.00139715708905358,0,0,0,0,0.00931691167537359
"22","Station_B2_2",0,0,0,0,0.00095024077046549,0,0.000141252006420546,0.00169502407704655,0.00124558587479936,0,0.00210593900481541,0.000256821829855538,0.00125842696629213,0,0.00114285714285714,0,0,0.0577207062600321,0.0022215088282504,0.0001669341894061,0.00640770465489567,0,0,0.00107865168539326,0,0.000128410914927769,0,0,0.00774317817014446
"23","Station_B2_3",0,0,0,0,0.0018415847372575,0,0.000107182180475304,0.00165645188007288,0.00148106285747693,0,0.00296212571495386,0,0.00125695466193766,0,0.00133490533864697,0,0,0.0429410790322423,0.000721043759561138,0.000302058872248585,0.00688889105418546,0,0,0.00115951631605102,0,9.74383458866402e-05,0,0,0.00940280037806078
"24","Station_B3_1",2.13260540402209e-05,0,0,0,0.00314203862859255,0,0.000547368720365671,0.00161367142237672,0.00209706198062173,0,0.000845933476928764,2.84347387202946e-05,0.000220369225082283,0,0.00214682277338224,0,0,0.0566419995308268,0.000184825801681915,0.000149282378281547,0.00786931394084153,0,0,0,0,0.000120847639561252,0,0,0.0122340463344067
"25","Station_B3_2",0,0,0,0,0.00208474706701273,0,0.000195882274752874,0.00123825580825924,0.00130121796800123,0,0.000846491258753489,0,0.000307815003183087,0,0.00160203717565743,0,0,0.0350279482031299,0.00016789909264532,2.0987386580665e-05,0.00523985084963937,0,0,0,0,7.69537507957717e-05,0,0,0.00722665677927566
"26","Station_B3_3",0,0,0,0,0.00257909731593942,0,0.000699755085719998,0.00142949967511371,0.00131953816164342,0,0.000589793572249713,0,0.000159944019593142,0,0.00218923376818114,0,0,0.0505523066926576,0.000119958014694857,0,0.00805717998700455,0,0,0,0,5.99790073474284e-05,0,0,0.0120957664817314
"27","Station_B4_1",0,0,0,0,0.000696950840074673,0,0,0.000539307197676831,0,0,0.000572495332918482,9.95644057249533e-05,0.00014934660858743,0,0.000647168637212197,0,0,0.0123542833437046,7.4673304293715e-05,4.14851690520639e-05,0.00348475420037337,0,0,0,0,0,0,0,0.00576643849823688
"28","Station_B4_2",0,0,0,0,0.00119550433101868,0,5.01109599828191e-05,0.000450998639845372,0.000937790822535615,0,0.00289927697043453,8.59045028276899e-05,0.000221919965638199,0,0.000701553439759467,0,0,0.0256854463454793,0.000221919965638199,0,0.00400171809005655,0,0,0,0,0,0,0,0.0063426157921111
"29","Station_B4_3",0,0,0,0,0.000747774913671514,0,0.000158066241914304,0.000395165604785759,1.82384125285735e-05,0,0.000504596079957201,7.90331209571519e-05,0.000176304654442877,0,0.000601867613442926,0,0,0.0115509946014299,6.68741792714362e-05,4.25562959000049e-05,0.00324643743008609,0,6.07947084285784e-06,0,0,0,0,0,0.0056235105296435
"30","Station_B5_1",0,0,0,0,0.000465574220926416,0,0,0.000862457163355493,0,0,0.00013738255699468,9.15883713297868e-05,8.39560070523046e-05,0,0.000290029842544325,0,0,0.00675464238557178,0,0,0.00246525366162676,0,0,0,0,0,0,0,0.00564794956533685
"31","Station_B5_2",0,0,0,0,0.000579642225086176,0,0,0.000949626624077351,0,0,0.00014799375959647,0,5.54976598486764e-05,0,0.000332985959092058,0,0.000154160166246323,0.00748601767292146,0,3.69984398991176e-05,0.00238639937349308,0,0,0,0,4.93312531988235e-05,0,0,0.00659188870869278
"32","Station_B5_3",0,0,0,0,0.000376005478936979,0,0,0.000933299313790001,0,0,0.000154430821706259,0.000167859588811151,0,0,0.00028871849275518,0,0,0.00627794862153706,3.35719177622302e-05,0,0.00253803698282461,0,0,0,0,0,0,0,0.00715081848335504
