"","Asterionellopsis_glacialis","Aureococcus_anophagefferens","Azadinium_cuneatum","Bacillaria_paxillifer","CCW10-lineage_X_sp.","Cercozoa","Chaetoceros","Chaetoceros_debilis","Chaetoceros_neogracilis","Chrysochromulina_simplex","Corethron_inerme","Coscinodiscus_wailesii","Cryomonadida","Cryothecomonas_aestivalis","Cryptophyceae","Dinoflagellata","Diplopsalidaceae","Eucampia_antarctica","Filosa-Granofilosea_X","Fragilariopsis_sublineata","Gymnodiniaceae","Gyrodinium_spirale","Heterocapsa_rotundata","Kinetoplastida","Leegaardiella_sp.","MAST-1A_XX_sp.","MAST-1C_XX_sp.","Micromonas_polaris","Navicula_gregaria","Nitzschia_sp.","Novel-clade-2_X_sp.","Paraphysomonas_sp.","Parvodinium_inconspicuum","Pentapharsodinium_dalei","Phaeocystis_antarctica","Picozoa_XXXX_sp.","Placidiales_XX_sp.","Planktoniella_sol","Polar-centric-Mediophyceae","Polarella_glacialis","Porosira_pseudodelicatula","Proboscia_alata","Prorocentrum_micans","Protaspa-lineage_X_sp.","Pseudo-nitzschia","Pseudopedinella_elastica","Pyramimonas_australis","Pyramimonas_sp.","Pyrsonympha_sp.","Raphid-pennate_X_sp.","Reckertia_filosa","Rhizosolenia_pungens","Spirotrichea","Stellarima_microtrias","Strombidiida_B_XX_sp.","Strombidiida_F_XX_sp.","Strombidiidae_M_X_sp.","Telonemia_XX","Thalassiosira_hendeyi","Thalassiosira_tumida","Toxarium_undulatum","Trinema_enchelys","Unclassified Eukaryota"
"20ppt3C_1",0.000542278343727002,0.000154936669636286,0.00272688538559864,0.000247898671418058,0.000224658170972615,0.00160359453073556,0,0.00561645427431537,0.096579773017779,0.00213037920749893,0.00510516326451563,0.00178951853429911,0,0.0110159972111399,0.0504628733005384,0.0038424294069799,0.000286632838827129,0.000805670682108688,0,0.229275283727776,0,0,0.000170430336599915,0,0,0.00804895998760507,0,0.0127048069101755,0,0,0,0.000154936669636286,0.000170430336599915,0.00596506178099702,0.0159197428051284,0.00138668319324476,0,0.0105047062013402,0.00185149320215362,0.000565518844172445,0.000596506178099702,9.29620017817717e-05,0,0.000170430336599915,0,0.0322733082852384,0.000720455513808731,0.00127822752449936,0,0.000325367006236201,0,0.405639694774761,0.000581012511136073,0.010094124026804,0,0,0.000472556842390673,0.000464810008908859,0.00166556919859008,0.0151605531239106,0.00121625285664485,0,0.0545067203780455
"20ppt3C_2",0.000561516797248568,9.65106995270976e-05,0.00236012528843539,0.000333400598366337,0.00023688989883924,0.00176351369135878,5.26421997420532e-05,0.00372882248172877,0.0908692104547409,0.000684348596646692,0.00337787448344841,0.00190389289067092,0,0.0133711187344815,0.0509050071505655,0.00268475218684471,0.000245663598796248,0.00046500609772147,0,0.262456460513963,0,0,8.77369995700887e-05,0,0,0.00639602726865947,0,0.0123884643392965,0,0,0,0.00023688989883924,0,0.0037551435815998,0.00747519236337156,0.00153539749247655,0,0.0120024215411881,0.00172841889153075,0.000640480096861648,0.000517648297463523,3.50947998280355e-05,0,0.000193021399054195,0,0.0336910078349141,0.000754538196302763,0.00112303359449714,0,0.000175473999140177,0,0.394132149468752,0.00070189599656071,0.00684348596646692,0,0,0.00110548619458312,0.000473779797678479,0.00107916509471209,0.015818981022487,0.000859822595786869,0,0.0548443984312625
"20ppt3C_3",0.0018101786005408,0.00537431907489755,0.00611637986766583,0.00182704361855827,0.000511572213196314,0.00226553408701225,0.00588589128809386,0.00283332302693343,0.0256123406958506,0.000421625450436523,0.193846517092696,0.00367095225513399,0,0.00321559676866255,0.0240663807109167,0.00602643310490603,0.000123676798794713,0.00459290657342186,0,0.135055064283827,0,0,0.000320435342331757,0,0.000382273741729114,0.0128623870746502,0.00933759830900086,0.0011636862432048,0.00197320710804293,0,0,0,0.000297948651641809,0.00698773913190131,0.0460302558423233,0.00120303795191221,0.000247353597589427,0.00625130001180551,0.0204122934738002,0.000269840288279375,0.0196758543537044,0.00146163489484661,0.000550923921903723,0.00277148462753608,0.00479528678963139,0.016415284203662,0.00473907006290652,5.62167267248697e-05,5.62167267248697e-06,0.000230488579571966,1.68650180174609e-05,0.31942344125071,0.000208001888882018,0.0156394933748588,0.0001292984714672,0.000399138759746575,0.0126656285311131,0.00497518031515097,0.00702146916793623,0.0177419989543689,0.0016808801290736,0,0.0292326978969322
"35ppt0C_1",0.00149660794189819,0.00555340307374403,0.00543944815431016,0.00128389209228829,0.00037984973144624,0.000957221323244524,0.00522673230470026,0.00230188937256421,0.0236114593066983,0.000113954919433872,0.149106213581907,0.00487727055176972,0,0.00246142625977163,0.0258677667114889,0.00647263942384393,0.000303879785156992,0.00607759570313984,0,0.093443033935775,0,0,0.000668535527345382,0,0.000387446726075165,0.00917716951174116,0.00965578017336342,0.00115474318359657,0.00164095083984776,0,0,2.27909838867744e-05,0.000212715849609894,0.00666256428956705,0.0449362232300902,0.0009496243286156,0.000425431699219789,0.00748303970949093,0.0198813349438962,0.000212715849609894,0.0219629114722216,0.00145862296875356,0.000584968586427209,0.00203599456055185,0.00567495498780682,0.0121627884009086,0.00531789624024736,0.000129148908691722,0,0.000159536887207421,0,0.406705107459489,0.000372252736817315,0.0224111341553282,0,0.000562177602540435,0.0126489960571598,0.00461137573975735,0.00628271455812081,0.0247965904688105,0.00182327871094195,0,0.0244395317212511
"35ppt0C_2",0.00163467825685603,0.00600664128107491,0.00714771080939011,0.00143595266484608,0.000391040681051835,0.00108337500160263,0.00501942382399323,0.003160377963255,0.0230201161583138,0.000160262574201572,0.173032296113953,0.00317960947215919,0,0.00300652589202149,0.0292383040373348,0.00746182545482519,0.000442324704796338,0.00452581509545239,1.28210059361257e-05,0.112927420285396,0.000461556213700527,0,0.000852596894752362,0,0.000493608728540841,0.0123786812313294,0.0132633306409221,0.00141031065297383,0.00119876405502776,0,0,0,0.00037821967511571,0.00802594971601472,0.0708360577970948,0.00150646819749478,0.000871828403656551,0.00737848891624037,0.017641704168109,0.000397451184019898,0.0217572470736054,0.0012949215995487,0.000794902368039796,0.0029872943831173,0.00521173891303512,0.0131992256112415,0.00568611613267177,0.000217957100914138,0,0.000128210059361257,0,0.334429529340872,0.000128210059361257,0.0171993794633127,0,0.00046796671666859,0.00915419823839378,0.00737207841327231,0.00696821672628434,0.0178660717719912,0.00197443491416337,0,0.0236611664551201
"35ppt0C_3",0.000876596771837105,0.000215973117698997,0.00303632794882708,0.000406537633315759,0.000196916666137321,0.00168331988794806,0.00015245161249341,0.00583127417787292,0.0978231180166045,0.00214702687594885,0.00590749998411962,0.00162615053326304,0,0.0112051935182656,0.0498707337369066,0.00388751611858195,0.000209620967178438,0.000749553761425931,0,0.226422405305316,0,0,0.000184212365096203,0,1.90564515616762e-05,0.0079274838496573,9.5282257808381e-05,0.0124629193213362,0.000114338709370057,0,0,0.000158803763013968,0.000165155913534527,0.00612347310181862,0.0173540752221665,0.00163250268378359,4.44650536439111e-05,0.00975690319957822,0.0021089139728255,0.000635215052055874,0.00120690859890616,5.71693546850286e-05,0,0.000298551074466261,0,0.0334250160391801,0.00055263709528861,0.00125137365255007,0,0.000184212365096203,0,0.403075711282055,0.000660623654138108,0.0102714273917435,0,0,0.000628862901535315,0.000438298385918553,0.00144193816816683,0.0145591289931206,0.00118149999682392,0,0.0541330267362015
"50ppt-3C_1",0.00278570843338564,0.00344116924124109,0.0101596425217594,0.00269117081686803,0.000340335419463404,0.00167016455847782,0.00373108459856177,0.00192226486919145,0.0119432522200584,0.000901258610801238,0.101835920512772,0.00197268493133418,0,0.00387604227722211,0.0232562536633326,0.00718485885533854,0.00218066768767292,0.00371217707525825,0.00015126018642818,0.138560633275981,0.00158192944972805,0.000705880869998172,0.000567225699105674,3.78150466070449e-05,0.00211764260999452,0.0044306629607921,0.00206722254785179,0.00422898271222119,0.00215545765660156,0,0.000126050155356816,4.41175543748858e-05,0.000428570528213176,0.00797897483408648,0.0668002798313449,0.00167016455847782,0.00551469429686072,0.00550839178909288,0.0124096377948786,0.0010336112739259,0.0303402723943857,0.00160083697303157,0.00197898743910202,0.00277310341784996,0.000932771149640442,0.017974752153882,0.00381931970731154,0.00091386362633692,0.00023319278741011,0.00115966142928271,0,0.392085310745145,0.00183402976044168,0.0207667630950355,0.0035041943189195,0.00192226486919145,0.013462156592108,0.00279201094115349,0.00273528837124292,0.019953739592984,0.00127310656910385,0.000466385574820221,0.020073487240573
"50ppt-3C_2",0.000655891632894001,0.000220931918448506,0.00412176110355493,0.000317589632769727,0.000407343224639432,0.00108394722488798,5.52329796121264e-05,0.00505381763450957,0.0776506652121982,0.00350039008291851,0.00814686449278864,0.00128416677598194,0,0.0070767255128037,0.0676604000248548,0.00337611587879123,0.00021402779599699,0.000635179265539454,0,0.223997348816979,0,0,0.00021402779599699,0,0,0.013545888249874,6.21371020636422e-05,0.0175571833942047,0,0,0,0.000186411306190927,0.000144986571481832,0.00303781387866695,0.0275129279692905,0.00230597689880628,9.66577143212212e-05,0.0121581596371193,0.00177435947003956,0.000317589632769727,0.000793974081924317,4.83288571606106e-05,0,0.000269260775609116,0,0.0231840431921901,0.000945864775857665,0.0012220296739183,0,0.000269260775609116,4.83288571606106e-05,0.406266181536996,0.000462576204251559,0.0086508654317493,0,0,0.000766357592118254,0.000517809183863685,0.00165698938836379,0.00966577143212212,0.00179507183739411,0,0.0536588396931808
"50ppt-3C_3",0.00294911212900797,0.00366721744647327,0.00874972983901891,0.0041134188087818,0.000606554976888164,0.00194515906381377,0.00251685455927158,0.00202184992296055,0.00903557758674782,0.000460145154880676,0.0912063472143788,0.00303277488444082,0,0.00501976532597101,0.0262003862430542,0.00745295712980974,0.00198699044153019,0.00398095277934645,2.09156888582125e-05,0.159126560833281,0.000732049110037439,0,0.000794796176612077,1.39437925721417e-05,0.000383454295733897,0.00132466029435346,0.00195213096009984,0.0037299645130479,0.00191029958238341,0,0,0,0.000376482399447826,0.0102626313330963,0.0384500080176807,0.00154776097550773,0.0018893838935252,0.00628167855374983,0.0151220430444877,0.00131768839806739,0.040743761895798,0.00212642836725161,0.00172903027894557,0.00299791540301046,0.000634442562032447,0.022825988440596,0.00465025482280926,0.00177783355294807,0.000104578444291063,0.0015059295977913,0,0.401553338492537,0.000801768072898148,0.0304881024589878,0.0013874073609281,0.000773880487753864,0.00407158743106538,0.00204973750810483,0.00228678198183124,0.0199117357930183,0.00146409822007488,0.000132466029435346,0.0229235949886009
"Ev32Core_A",0.00195595256430002,0.000492838441398429,0,0.00731557061450793,0.0016171261358386,0.00155552133066379,0.000246419220699215,0.00133990451255198,0.0295395040813183,0.000323425227167719,0.00766979824426305,0.0016787309410134,0.000385030032342523,0.00941013399045126,0.0292006776528569,0.0239026644078238,0.000369628831048822,0.00050823964269213,9.24072077622054e-05,0.252364084398583,0.000308024025874018,0.00623748652394887,0.0332973971969814,0.0016787309410134,0,0.00231018019405514,0.000415832434929925,0.00498998921915909,0.00469736639457878,0.0315570614507932,0.00637609733559218,0.00124749730478977,0,0.141706453103342,0.00637609733559218,0.000723856460803943,0.000939473278915755,0.00557523486831973,0.00257200061604805,0.000662251655629139,0.00380409671954412,0.000246419220699215,0.00181734175265671,0.00143231172031418,0.00112428769444017,0.0107192361004158,0.000631449253041737,0.000646850454335438,0.000261820421992915,0.0803634683505313,0.00612967811489296,0.142984752810719,0.000585245649160635,0.00434313876482366,0.000816263668566148,9.24072077622055e-05,0.00220237178499923,0.000431233636223625,0.000323425227167719,0.00942553519174496,0.000523640843985831,0,0.0328045587555829
"Ev32Core_B",0.0026567481402763,0.00614327515176219,0,0.00678380621023976,0.00227097375278413,0.000400331911548484,0,0.000305708005182479,0.00345013320134512,0.00131017716506777,0.0874761620543578,0.0101684305533315,0.00293334109734616,0.00812309842342014,0.0408265762159172,0.0319392077795409,0.00205988965396765,0.00486949179683519,0.000152854002591239,0.047988878051621,0.00438181474094886,0.0068565938305213,0.00181241174501041,0.000444004483717409,0.00232192508698121,0.00408338549779453,0.00755535498522411,0.000851615157294047,0.00361754472799266,0.00455650502962456,0.000553185914139723,0.00331183672281018,0.00302796500371217,0.0586158706127262,0.0259851804405107,0.0038504651128936,0.015525599406053,0.0124248467820593,0.013116329174734,0.00476758912844103,0.0343484780108599,0.00147030992968716,0.00460017760179349,0.00497139446522935,0.00357387215582374,0.00778827537012505,0.00823227985384246,0.00109909306625129,0.000545907152111569,0.0298793181255732,0.0115368378146245,0.227534101000102,0.00323904910252864,0.0227170162898694,0.0188228786048069,0.00224185870467151,0.0211229674057036,0.00587396095672048,0.000553185914139723,0.0286564861048433,7.27876202815425e-05,0,0.0346032346818453
"Ev32Core_C",0.000900634388456102,0.00214311540610722,0,0.00718535318673372,0.0401604049567761,0.00392466226210433,0.000512769943792525,0.000591657627452914,0.00789534233967722,0.00064424941655984,0.0776714985372909,0.00278736482266706,0.00657397363836571,0.0255333136114124,0.0105183578213851,0.0242053709364625,0.00103868783486178,0.00178812082963547,5.91657627452914e-05,0.174512704204056,0.00139368241133353,0.00445715412681195,0.00259671958715446,0.00209709759063866,0.000407586365578674,0.00252440587713243,0.00315550734641554,0.00127535088584295,0.00471353909870821,0.00402327186667981,0.00915097130460507,0.00360911152746277,0.000709989152943497,0.112704204056142,0.0486211090293528,0.000999243993031588,0.00473326101962331,0.00337902245011997,0.00816487525885021,0.0132005390658383,0.0120237977845709,0.000782302862965519,0.00171580711961345,0.00458863359957927,0.000953226177563028,0.00470696512506985,0.00123590704401275,0.000289254840088091,0.00526575288433093,0.0514413437202117,0.0141866351115932,0.105374223449364,0.00130822075403478,0.0115899155244387,0.00106498372941525,0.00118988922854419,0.0047924267823686,0.00128192485948131,0.0006902672320284,0.0119646320218256,0.000887486441179371,0,0.0256647930841797
"Ev37Core_A",0.00325227992430366,0.000280532917447246,0,0.000489743906729937,0.000446950749831205,0.00191618247002102,0.000294797303080156,0,0,0,0.000394648002510532,7.1321928164554e-05,0.000646652148691956,0.00213014825451468,0.0178542560171933,0.0373013684300617,0,2.85287712658216e-05,0,0.296998773262836,0,0.00630485844974657,0.0639710147683939,0.000437441159409264,1.42643856329108e-05,3.32835664767918e-05,0,6.18123377426134e-05,0.00513993362305885,0.0242874939376361,0.0162804188023622,0.00127428511654003,0,0.271669979173997,0.00177829340890288,1.90191808438811e-05,4.27931568987324e-05,0.00278630999362857,0.00183535095143452,0.000342345255189859,0.000675180919957777,0.000670426124746807,0.00227754690605476,0.00135511663512653,0.00166893311905056,8.55863137974647e-05,2.85287712658216e-05,0.000137889061118138,0.000527782268417699,0.112702910885628,0.0113734701446409,0.00890097663493633,0.000309061688713067,0.000190191808438811,0,0,0,9.0341109008435e-05,0,0.00256758941392394,7.1321928164554e-05,0,0.00812594501554818
"EvXCore_A",0.00294272201786653,0,0,0.00945874934314241,0.00126116657908565,0.00122613417411105,0.000140129619898406,0,0,0,0.00297775442284113,0.0173410404624277,0.00395866176212997,0.00900332807847259,0.000175162024873008,0.0443860571028201,0,0.004659309861622,0,0.12835873182694,0,0.00665615694517429,0,0.0069714485899457,0,0.000140129619898406,0.0092485549132948,0.000140129619898406,0.00318794885268874,0.00143632860395866,0.010194429847609,0.0533893851812927,0.000910842529339639,0.19474513925381,0.00893326326852338,0.000280259239796812,0,0.000385356454720617,0.00385356454720617,0.00168155543878087,0.0322998773865826,0.00886319845857418,0,0.00276755999299352,0,0,0,0,0.00868803643370117,0.181888246628131,0.018286915396742,0.0595901208617972,0.000595550884568226,0.0280259239796812,0,0,0.000280259239796812,0,0,0.00879313364862498,0.00276755999299352,0,0.0162200035032405
"Hero_1",0.000918011383341153,0.00832330320895979,0,0.00133621656908546,0.000311103857687835,0.000734409106672923,0.000800709928803117,0.000520206450559987,0.00294273648993248,0.00178502213427447,0.149044248148677,0.0139486729635447,3.57004426854893e-05,0.00109141353352782,0.0456863665109447,0.0261786246149452,0.00429425324874028,0.00477875925661478,0.000489606071115282,0.0374956649462453,0.00647198025255513,0.00242763010261327,0.000969012015748995,0,0.00240722984965014,0.00799179909830882,0.00871600807850017,0.00153001897223526,0.00226442807890818,0,0.000198902466390583,4.59005691670577e-05,0.00163712030029172,0.0472469858626247,0.0285042534527428,0.00255513168363288,0.01703931128746,0.00966971990452682,0.0212570635875885,0.00037740467981803,0.0379954711438422,0.002386829596687,0.00668618290866807,0.00557436912217711,0.00317223933576776,0.0107713335645362,0.00642097962014729,0.00193802403149799,0.000198902466390583,0.00111181378649095,0,0.282206899365552,0.00231032864807524,0.0329311083457435,0.0140506742283604,0.00245823048205798,0.028641955160244,0.00674228360431669,0.00232562883779759,0.0342826251045513,0.00231032864807524,0,0.0249444093106755
